ted_id,camus_id
1,2
2,4
3,5
4,8
5,10
6,12
7,13
8,14
9,16
10,17
11,18
12,19
13,20
14,21
15,22
16,23
17,24
18,25
20,27
21,28
22,30
23,33
24,34
25,35
26,37
27,39
28,40
29,42
30,43
31,45
33,47
35,49
36,52
37,53
38,55
39,56
40,57
41,59
42,60
43,62
44,65
45,67
46,68
47,69
48,70
49,72
50,76
51,78
52,79
53,81
54,84
55,87
56,88
57,89
58,90
59,93
60,96
61,97
62,99
63,100
64,103
65,104
66,106
67,107
68,108
69,109
70,111
71,112
72,113
73,114
74,116
75,118
76,119
77,120
78,121
79,122
80,124
81,125
82,129
83,132
84,134
85,135
86,136
87,137
88,138
89,139
90,140
91,142
92,144
93,145
94,146
95,147
96,148
97,152
